,Blur Map,Blur Box,Average Matches,Max Matches,Average Time
0,1.0,1.0,2.0,2.0,0.007944822311401367
0,1.0,3.0,2.0,2.0,0.008021354675292969
0,1.0,5.0,2.0,2.0,0.009731054306030273
0,1.0,7.0,2.0,2.0,0.008835315704345703
0,1.0,9.0,2.0,2.0,0.0072591304779052734
0,1.0,11.0,2.0,2.0,0.008354425430297852
0,1.0,13.0,2.0,2.0,0.010194063186645508
0,1.0,15.0,2.0,2.0,0.009833574295043945
0,1.0,17.0,2.0,2.0,0.008647441864013672
0,1.0,19.0,2.0,2.0,0.009412050247192383
0,1.0,21.0,2.0,2.0,0.009405851364135742
0,1.0,23.0,2.0,2.0,0.007902145385742188
0,1.0,25.0,2.0,2.0,0.008629083633422852
0,1.0,27.0,2.0,2.0,0.008182525634765625
0,1.0,29.0,2.0,2.0,0.008152484893798828
0,1.0,31.0,2.0,2.0,0.007397890090942383
0,1.0,33.0,2.0,2.0,0.00910806655883789
0,1.0,35.0,2.0,2.0,0.008877277374267578
0,1.0,37.0,2.0,2.0,0.00924825668334961
0,1.0,39.0,2.0,2.0,0.007353067398071289
0,1.0,41.0,2.0,2.0,0.009779930114746094
0,3.0,1.0,2.0,2.0,0.007921457290649414
0,3.0,3.0,2.0,2.0,0.007142543792724609
0,3.0,5.0,2.0,2.0,0.008364439010620117
0,3.0,7.0,2.0,2.0,0.007039546966552734
0,3.0,9.0,2.0,2.0,0.0076961517333984375
0,3.0,11.0,2.0,2.0,0.008362770080566406
0,3.0,13.0,2.0,2.0,0.007424592971801758
0,3.0,15.0,2.0,2.0,0.008133649826049805
0,3.0,17.0,2.0,2.0,0.007970809936523438
0,3.0,19.0,2.0,2.0,0.007231712341308594
0,3.0,21.0,2.0,2.0,0.009137630462646484
0,3.0,23.0,2.0,2.0,0.008720874786376953
0,3.0,25.0,2.0,2.0,0.007422924041748047
0,3.0,27.0,2.0,2.0,0.007510185241699219
0,3.0,29.0,2.0,2.0,0.007700443267822266
0,3.0,31.0,2.0,2.0,0.007463932037353516
0,3.0,33.0,2.0,2.0,0.01047062873840332
0,3.0,35.0,2.0,2.0,0.008477926254272461
0,3.0,37.0,2.0,2.0,0.00738525390625
0,3.0,39.0,2.0,2.0,0.007406949996948242
0,3.0,41.0,2.0,2.0,0.00804591178894043
0,5.0,1.0,2.0,2.0,0.006834745407104492
0,5.0,3.0,2.0,2.0,0.007245063781738281
0,5.0,5.0,2.0,2.0,0.00984811782836914
0,5.0,7.0,2.0,2.0,0.007671833038330078
0,5.0,9.0,2.0,2.0,0.009427547454833984
0,5.0,11.0,2.0,2.0,0.011091232299804688
0,5.0,13.0,2.0,2.0,0.008874177932739258
0,5.0,15.0,2.0,2.0,0.007477521896362305
0,5.0,17.0,2.0,2.0,0.008266448974609375
0,5.0,19.0,2.0,2.0,0.008068084716796875
0,5.0,21.0,2.0,2.0,0.007445096969604492
0,5.0,23.0,2.0,2.0,0.008158445358276367
0,5.0,25.0,2.0,2.0,0.007976293563842773
0,5.0,27.0,2.0,2.0,0.007540702819824219
0,5.0,29.0,2.0,2.0,0.0080718994140625
0,5.0,31.0,2.0,2.0,0.010157585144042969
0,5.0,33.0,2.0,2.0,0.007118940353393555
0,5.0,35.0,2.0,2.0,0.00973820686340332
0,5.0,37.0,2.0,2.0,0.008313894271850586
0,5.0,39.0,2.0,2.0,0.008488178253173828
0,5.0,41.0,2.0,2.0,0.007097005844116211
0,7.0,1.0,2.0,2.0,0.008158445358276367
0,7.0,3.0,2.0,2.0,0.007985591888427734
0,7.0,5.0,2.0,2.0,0.007433414459228516
0,7.0,7.0,2.0,2.0,0.0074460506439208984
0,7.0,9.0,2.0,2.0,0.006884098052978516
0,7.0,11.0,2.0,2.0,0.00754547119140625
0,7.0,13.0,2.0,2.0,0.007978439331054688
0,7.0,15.0,2.0,2.0,0.007410764694213867
0,7.0,17.0,2.0,2.0,0.008153438568115234
0,7.0,19.0,2.0,2.0,0.007997989654541016
0,7.0,21.0,2.0,2.0,0.007402896881103516
0,7.0,23.0,2.0,2.0,0.007737398147583008
0,7.0,25.0,2.0,2.0,0.00700688362121582
0,7.0,27.0,2.0,2.0,0.006823062896728516
0,7.0,29.0,2.0,2.0,0.007871866226196289
0,7.0,31.0,2.0,2.0,0.008115768432617188
0,7.0,33.0,2.0,2.0,0.0074291229248046875
0,7.0,35.0,2.0,2.0,0.007829904556274414
0,7.0,37.0,2.0,2.0,0.006911039352416992
0,7.0,39.0,2.0,2.0,0.00816035270690918
0,7.0,41.0,2.0,2.0,0.007018566131591797
0,9.0,1.0,1.0,1.0,0.006903409957885742
0,9.0,3.0,1.0,1.0,0.007498979568481445
0,9.0,5.0,1.0,1.0,0.006944894790649414
0,9.0,7.0,1.0,1.0,0.008205652236938477
0,9.0,9.0,1.0,1.0,0.007627248764038086
0,9.0,11.0,1.0,1.0,0.007230520248413086
0,9.0,13.0,1.0,1.0,0.007328987121582031
0,9.0,15.0,1.0,1.0,0.007783412933349609
0,9.0,17.0,1.0,1.0,0.007398128509521484
0,9.0,19.0,1.0,1.0,0.0077342987060546875
0,9.0,21.0,1.0,1.0,0.008313417434692383
0,9.0,23.0,1.0,1.0,0.0077953338623046875
0,9.0,25.0,1.0,1.0,0.008910417556762695
0,9.0,27.0,1.0,1.0,0.0074384212493896484
0,9.0,29.0,1.0,1.0,0.007254362106323242
0,9.0,31.0,1.0,1.0,0.008164167404174805
0,9.0,33.0,1.0,1.0,0.007790327072143555
0,9.0,35.0,1.0,1.0,0.0075702667236328125
0,9.0,37.0,1.0,1.0,0.007905006408691406
0,9.0,39.0,1.0,1.0,0.007691621780395508
0,9.0,41.0,1.0,1.0,0.008832693099975586
0,11.0,1.0,1.0,1.0,0.0070950984954833984
0,11.0,3.0,1.0,1.0,0.0071849822998046875
0,11.0,5.0,1.0,1.0,0.008811473846435547
0,11.0,7.0,1.0,1.0,0.008673429489135742
0,11.0,9.0,1.0,1.0,0.00863194465637207
0,11.0,11.0,1.0,1.0,0.006603240966796875
0,11.0,13.0,1.0,1.0,0.007911443710327148
0,11.0,15.0,1.0,1.0,0.007543325424194336
0,11.0,17.0,1.0,1.0,0.0067670345306396484
0,11.0,19.0,1.0,1.0,0.008398771286010742
0,11.0,21.0,1.0,1.0,0.0074155330657958984
0,11.0,23.0,1.0,1.0,0.008762121200561523
0,11.0,25.0,1.0,1.0,0.007282257080078125
0,11.0,27.0,1.0,1.0,0.007475614547729492
0,11.0,29.0,1.0,1.0,0.008110523223876953
0,11.0,31.0,1.0,1.0,0.007862567901611328
0,11.0,33.0,1.0,1.0,0.006946563720703125
0,11.0,35.0,1.0,1.0,0.0070040225982666016
0,11.0,37.0,1.0,1.0,0.0069217681884765625
0,11.0,39.0,1.0,1.0,0.0072519779205322266
0,11.0,41.0,1.0,1.0,0.008168458938598633
0,13.0,1.0,1.0,1.0,0.006760597229003906
0,13.0,3.0,1.0,1.0,0.007123470306396484
0,13.0,5.0,1.0,1.0,0.007208347320556641
0,13.0,7.0,1.0,1.0,0.007146596908569336
0,13.0,9.0,1.0,1.0,0.008711099624633789
0,13.0,11.0,1.0,1.0,0.006727457046508789
0,13.0,13.0,1.0,1.0,0.008204460144042969
0,13.0,15.0,1.0,1.0,0.0074956417083740234
0,13.0,17.0,1.0,1.0,0.007574319839477539
0,13.0,19.0,1.0,1.0,0.011368989944458008
0,13.0,21.0,1.0,1.0,0.009123086929321289
0,13.0,23.0,1.0,1.0,0.00875091552734375
0,13.0,25.0,1.0,1.0,0.007988214492797852
0,13.0,27.0,1.0,1.0,0.007139682769775391
0,13.0,29.0,1.0,1.0,0.009361028671264648
0,13.0,31.0,1.0,1.0,0.008664131164550781
0,13.0,33.0,1.0,1.0,0.00837850570678711
0,13.0,35.0,1.0,1.0,0.008517742156982422
0,13.0,37.0,1.0,1.0,0.0070307254791259766
0,13.0,39.0,1.0,1.0,0.008710861206054688
0,13.0,41.0,1.0,1.0,0.007901906967163086
0,15.0,1.0,1.0,1.0,0.0066111087799072266
0,15.0,3.0,1.0,1.0,0.007220268249511719
0,15.0,5.0,1.0,1.0,0.007950305938720703
0,15.0,7.0,1.0,1.0,0.007555484771728516
0,15.0,9.0,1.0,1.0,0.007547855377197266
0,15.0,11.0,1.0,1.0,0.008053779602050781
0,15.0,13.0,1.0,1.0,0.008574485778808594
0,15.0,15.0,1.0,1.0,0.00859379768371582
0,15.0,17.0,1.0,1.0,0.007537841796875
0,15.0,19.0,1.0,1.0,0.0074863433837890625
0,15.0,21.0,1.0,1.0,0.008694171905517578
0,15.0,23.0,1.0,1.0,0.008586645126342773
0,15.0,25.0,1.0,1.0,0.00757288932800293
0,15.0,27.0,1.0,1.0,0.0068247318267822266
0,15.0,29.0,1.0,1.0,0.008477210998535156
0,15.0,31.0,1.0,1.0,0.006723880767822266
0,15.0,33.0,1.0,1.0,0.008440971374511719
0,15.0,35.0,1.0,1.0,0.008273839950561523
0,15.0,37.0,1.0,1.0,0.006926774978637695
0,15.0,39.0,1.0,1.0,0.008206367492675781
0,15.0,41.0,1.0,1.0,0.007718801498413086
0,17.0,1.0,1.0,1.0,0.00861811637878418
0,17.0,3.0,1.0,1.0,0.008973121643066406
0,17.0,5.0,1.0,1.0,0.007157325744628906
0,17.0,7.0,1.0,1.0,0.006876230239868164
0,17.0,9.0,1.0,1.0,0.007974386215209961
0,17.0,11.0,1.0,1.0,0.008067846298217773
0,17.0,13.0,1.0,1.0,0.008285284042358398
0,17.0,15.0,1.0,1.0,0.008893966674804688
0,17.0,17.0,1.0,1.0,0.007544279098510742
0,17.0,19.0,1.0,1.0,0.0073680877685546875
0,17.0,21.0,1.0,1.0,0.007968902587890625
0,17.0,23.0,1.0,1.0,0.008906126022338867
0,17.0,25.0,1.0,1.0,0.0065801143646240234
0,17.0,27.0,1.0,1.0,0.006901264190673828
0,17.0,29.0,1.0,1.0,0.007412433624267578
0,17.0,31.0,1.0,1.0,0.008460283279418945
0,17.0,33.0,1.0,1.0,0.007482290267944336
0,17.0,35.0,1.0,1.0,0.006823301315307617
0,17.0,37.0,1.0,1.0,0.00853729248046875
0,17.0,39.0,1.0,1.0,0.007479667663574219
0,17.0,41.0,1.0,1.0,0.006814002990722656
0,19.0,1.0,1.0,1.0,0.009564876556396484
0,19.0,3.0,1.0,1.0,0.008560895919799805
0,19.0,5.0,1.0,1.0,0.006961345672607422
0,19.0,7.0,1.0,1.0,0.008016347885131836
0,19.0,9.0,1.0,1.0,0.0076274871826171875
0,19.0,11.0,1.0,1.0,0.0069217681884765625
0,19.0,13.0,1.0,1.0,0.007970571517944336
0,19.0,15.0,1.0,1.0,0.007897377014160156
0,19.0,17.0,1.0,1.0,0.006940126419067383
0,19.0,19.0,1.0,1.0,0.0075533390045166016
0,19.0,21.0,1.0,1.0,0.006665945053100586
0,19.0,23.0,1.0,1.0,0.007782936096191406
0,19.0,25.0,1.0,1.0,0.007439613342285156
0,19.0,27.0,1.0,1.0,0.006691455841064453
0,19.0,29.0,1.0,1.0,0.00787806510925293
0,19.0,31.0,1.0,1.0,0.007570981979370117
0,19.0,33.0,1.0,1.0,0.00713658332824707
0,19.0,35.0,1.0,1.0,0.007766246795654297
0,19.0,37.0,1.0,1.0,0.006238460540771484
0,19.0,39.0,1.0,1.0,0.008741617202758789
0,19.0,41.0,1.0,1.0,0.007466316223144531
0,21.0,1.0,0.0,0.0,0.007243156433105469
0,21.0,3.0,0.0,0.0,0.007863521575927734
0,21.0,5.0,0.0,0.0,0.007428646087646484
0,21.0,7.0,0.0,0.0,0.0074656009674072266
0,21.0,9.0,0.0,0.0,0.008790731430053711
0,21.0,11.0,0.0,0.0,0.008047819137573242
0,21.0,13.0,0.0,0.0,0.009406566619873047
0,21.0,15.0,0.0,0.0,0.008045434951782227
0,21.0,17.0,0.0,0.0,0.008452892303466797
0,21.0,19.0,0.0,0.0,0.007454395294189453
0,21.0,21.0,0.0,0.0,0.007269620895385742
0,21.0,23.0,0.0,0.0,0.009907007217407227
0,21.0,25.0,0.0,0.0,0.007520437240600586
0,21.0,27.0,0.0,0.0,0.008436918258666992
0,21.0,29.0,0.0,0.0,0.009798049926757812
0,21.0,31.0,0.0,0.0,0.010260343551635742
0,21.0,33.0,0.0,0.0,0.008702516555786133
0,21.0,35.0,0.0,0.0,0.008297204971313477
0,21.0,37.0,0.0,0.0,0.008110284805297852
0,21.0,39.0,0.0,0.0,0.008017778396606445
0,21.0,41.0,0.0,0.0,0.0072100162506103516
0,23.0,1.0,0.0,0.0,0.0074231624603271484
0,23.0,3.0,0.0,0.0,0.005554676055908203
0,23.0,5.0,0.0,0.0,0.0078089237213134766
0,23.0,7.0,0.0,0.0,0.005899190902709961
0,23.0,9.0,0.0,0.0,0.007184028625488281
0,23.0,11.0,0.0,0.0,0.008310556411743164
0,23.0,13.0,0.0,0.0,0.0055577754974365234
0,23.0,15.0,0.0,0.0,0.006369829177856445
0,23.0,17.0,0.0,0.0,0.005727291107177734
0,23.0,19.0,0.0,0.0,0.006890535354614258
0,23.0,21.0,0.0,0.0,0.005131721496582031
0,23.0,23.0,0.0,0.0,0.0063953399658203125
0,23.0,25.0,0.0,0.0,0.0070345401763916016
0,23.0,27.0,0.0,0.0,0.0068700313568115234
0,23.0,29.0,0.0,0.0,0.005442380905151367
0,23.0,31.0,0.0,0.0,0.0058746337890625
0,23.0,33.0,0.0,0.0,0.005580902099609375
0,23.0,35.0,0.0,0.0,0.005402326583862305
0,23.0,37.0,0.0,0.0,0.007420539855957031
0,23.0,39.0,0.0,0.0,0.0055615901947021484
0,23.0,41.0,0.0,0.0,0.006317138671875
0,25.0,1.0,0.0,0.0,0.005434989929199219
0,25.0,3.0,0.0,0.0,0.005826711654663086
0,25.0,5.0,0.0,0.0,0.005738735198974609
0,25.0,7.0,0.0,0.0,0.0066318511962890625
0,25.0,9.0,0.0,0.0,0.005662679672241211
0,25.0,11.0,0.0,0.0,0.007569313049316406
0,25.0,13.0,0.0,0.0,0.005426883697509766
0,25.0,15.0,0.0,0.0,0.005333662033081055
0,25.0,17.0,0.0,0.0,0.005658149719238281
0,25.0,19.0,0.0,0.0,0.005605459213256836
0,25.0,21.0,0.0,0.0,0.00715947151184082
0,25.0,23.0,0.0,0.0,0.005620002746582031
0,25.0,25.0,0.0,0.0,0.007677316665649414
0,25.0,27.0,0.0,0.0,0.005968332290649414
0,25.0,29.0,0.0,0.0,0.00807332992553711
0,25.0,31.0,0.0,0.0,0.005671024322509766
0,25.0,33.0,0.0,0.0,0.006620168685913086
0,25.0,35.0,0.0,0.0,0.006913185119628906
0,25.0,37.0,0.0,0.0,0.005452632904052734
0,25.0,39.0,0.0,0.0,0.0062220096588134766
0,25.0,41.0,0.0,0.0,0.007578611373901367
0,27.0,1.0,0.0,0.0,0.007548332214355469
0,27.0,3.0,0.0,0.0,0.0056400299072265625
0,27.0,5.0,0.0,0.0,0.006425619125366211
0,27.0,7.0,0.0,0.0,0.006002902984619141
0,27.0,9.0,0.0,0.0,0.0073375701904296875
0,27.0,11.0,0.0,0.0,0.005879402160644531
0,27.0,13.0,0.0,0.0,0.006858348846435547
0,27.0,15.0,0.0,0.0,0.007437944412231445
0,27.0,17.0,0.0,0.0,0.006091594696044922
0,27.0,19.0,0.0,0.0,0.007573127746582031
0,27.0,21.0,0.0,0.0,0.0073053836822509766
0,27.0,23.0,0.0,0.0,0.006722450256347656
0,27.0,25.0,0.0,0.0,0.008149147033691406
0,27.0,27.0,0.0,0.0,0.008153915405273438
0,27.0,29.0,0.0,0.0,0.00599217414855957
0,27.0,31.0,0.0,0.0,0.006966114044189453
0,27.0,33.0,0.0,0.0,0.007128000259399414
0,27.0,35.0,0.0,0.0,0.007980585098266602
0,27.0,37.0,0.0,0.0,0.0065691471099853516
0,27.0,39.0,0.0,0.0,0.006624698638916016
0,27.0,41.0,0.0,0.0,0.007162570953369141
0,29.0,1.0,0.0,0.0,0.0068547725677490234
0,29.0,3.0,0.0,0.0,0.005956888198852539
0,29.0,5.0,0.0,0.0,0.006929874420166016
0,29.0,7.0,0.0,0.0,0.0077173709869384766
0,29.0,9.0,0.0,0.0,0.008311748504638672
0,29.0,11.0,0.0,0.0,0.005601167678833008
0,29.0,13.0,0.0,0.0,0.0056569576263427734
0,29.0,15.0,0.0,0.0,0.007466554641723633
0,29.0,17.0,0.0,0.0,0.007234334945678711
0,29.0,19.0,0.0,0.0,0.007372140884399414
0,29.0,21.0,0.0,0.0,0.005498409271240234
0,29.0,23.0,0.0,0.0,0.008146524429321289
0,29.0,25.0,0.0,0.0,0.0054743289947509766
0,29.0,27.0,0.0,0.0,0.005936861038208008
0,29.0,29.0,0.0,0.0,0.005286216735839844
0,29.0,31.0,0.0,0.0,0.007279157638549805
0,29.0,33.0,0.0,0.0,0.00691533088684082
0,29.0,35.0,0.0,0.0,0.006486654281616211
0,29.0,37.0,0.0,0.0,0.007405281066894531
0,29.0,39.0,0.0,0.0,0.0073735713958740234
0,29.0,41.0,0.0,0.0,0.0057370662689208984
0,31.0,1.0,0.0,0.0,0.0051996707916259766
0,31.0,3.0,0.0,0.0,0.005678653717041016
0,31.0,5.0,0.0,0.0,0.0056705474853515625
0,31.0,7.0,0.0,0.0,0.006593227386474609
0,31.0,9.0,0.0,0.0,0.0062983036041259766
0,31.0,11.0,0.0,0.0,0.00629425048828125
0,31.0,13.0,0.0,0.0,0.0065577030181884766
0,31.0,15.0,0.0,0.0,0.006820201873779297
0,31.0,17.0,0.0,0.0,0.007402896881103516
0,31.0,19.0,0.0,0.0,0.009122133255004883
0,31.0,21.0,0.0,0.0,0.008666276931762695
0,31.0,23.0,0.0,0.0,0.007178783416748047
0,31.0,25.0,0.0,0.0,0.007517099380493164
0,31.0,27.0,0.0,0.0,0.00927114486694336
0,31.0,29.0,0.0,0.0,0.009046792984008789
0,31.0,31.0,0.0,0.0,0.006472110748291016
0,31.0,33.0,0.0,0.0,0.006882667541503906
0,31.0,35.0,0.0,0.0,0.007125139236450195
0,31.0,37.0,0.0,0.0,0.008092880249023438
0,31.0,39.0,0.0,0.0,0.0064678192138671875
0,31.0,41.0,0.0,0.0,0.005721092224121094
0,33.0,1.0,0.0,0.0,0.006286144256591797
0,33.0,3.0,0.0,0.0,0.006191253662109375
0,33.0,5.0,0.0,0.0,0.008011102676391602
0,33.0,7.0,0.0,0.0,0.005375385284423828
0,33.0,9.0,0.0,0.0,0.005594968795776367
0,33.0,11.0,0.0,0.0,0.005815982818603516
0,33.0,13.0,0.0,0.0,0.006896018981933594
0,33.0,15.0,0.0,0.0,0.006578922271728516
0,33.0,17.0,0.0,0.0,0.006160259246826172
0,33.0,19.0,0.0,0.0,0.006989479064941406
0,33.0,21.0,0.0,0.0,0.006235361099243164
0,33.0,23.0,0.0,0.0,0.005370616912841797
0,33.0,25.0,0.0,0.0,0.006232261657714844
0,33.0,27.0,0.0,0.0,0.005608558654785156
0,33.0,29.0,0.0,0.0,0.007678031921386719
0,33.0,31.0,0.0,0.0,0.006124258041381836
0,33.0,33.0,0.0,0.0,0.007798671722412109
0,33.0,35.0,0.0,0.0,0.005827665328979492
0,33.0,37.0,0.0,0.0,0.0069620609283447266
0,33.0,39.0,0.0,0.0,0.007813215255737305
