,Blur Map,Blur Box,Average Matches,Max Matches,Average Time
0,1.0,1.0,0.0,0.0,0.009927749633789062
0,1.0,3.0,0.0,0.0,0.009959936141967773
0,1.0,5.0,0.0,0.0,0.010148763656616211
0,1.0,7.0,0.0,0.0,0.009536266326904297
0,1.0,9.0,0.0,0.0,0.012112855911254883
0,1.0,11.0,0.0,0.0,0.009046792984008789
0,1.0,13.0,0.0,0.0,0.01114344596862793
0,1.0,15.0,0.0,0.0,0.0093994140625
0,1.0,17.0,0.0,0.0,0.009675025939941406
0,1.0,19.0,0.0,0.0,0.009130001068115234
0,1.0,21.0,0.0,0.0,0.010878562927246094
0,1.0,23.0,0.0,0.0,0.011556386947631836
0,1.0,25.0,0.0,0.0,0.010175943374633789
0,1.0,27.0,0.0,0.0,0.009088277816772461
0,1.0,29.0,0.0,0.0,0.011470794677734375
0,1.0,31.0,0.0,0.0,0.010914802551269531
0,1.0,33.0,0.0,0.0,0.010087966918945312
0,1.0,35.0,0.0,0.0,0.00979161262512207
0,1.0,37.0,0.0,0.0,0.00905299186706543
0,1.0,39.0,0.0,0.0,0.011467695236206055
0,1.0,41.0,0.0,0.0,0.011046171188354492
0,3.0,1.0,0.0,0.0,0.011911869049072266
0,3.0,3.0,0.0,0.0,0.011301755905151367
0,3.0,5.0,0.0,0.0,0.008959293365478516
0,3.0,7.0,0.0,0.0,0.01003885269165039
0,3.0,9.0,0.0,0.0,0.009694814682006836
0,3.0,11.0,0.0,0.0,0.011981487274169922
0,3.0,13.0,0.0,0.0,0.011680126190185547
0,3.0,15.0,0.0,0.0,0.010066509246826172
0,3.0,17.0,0.0,0.0,0.008756637573242188
0,3.0,19.0,0.0,0.0,0.011538505554199219
0,3.0,21.0,0.0,0.0,0.013389110565185547
0,3.0,23.0,0.0,0.0,0.014127731323242188
0,3.0,25.0,0.0,0.0,0.01491236686706543
0,3.0,27.0,0.0,0.0,0.012113094329833984
0,3.0,29.0,0.0,0.0,0.012277841567993164
0,3.0,31.0,0.0,0.0,0.012067079544067383
0,3.0,33.0,0.0,0.0,0.012312650680541992
0,3.0,35.0,0.0,0.0,0.011783123016357422
0,3.0,37.0,0.0,0.0,0.011964559555053711
0,3.0,39.0,0.0,0.0,0.01226806640625
0,3.0,41.0,0.0,0.0,0.012602806091308594
0,5.0,1.0,0.0,0.0,0.012452363967895508
0,5.0,3.0,0.0,0.0,0.01320338249206543
0,5.0,5.0,0.0,0.0,0.012663602828979492
0,5.0,7.0,0.0,0.0,0.012948274612426758
0,5.0,9.0,0.0,0.0,0.012136459350585938
0,5.0,11.0,0.0,0.0,0.013303995132446289
0,5.0,13.0,0.0,0.0,0.012517213821411133
0,5.0,15.0,0.0,0.0,0.016203880310058594
0,5.0,17.0,0.0,0.0,0.012465238571166992
0,5.0,19.0,0.0,0.0,0.012048482894897461
0,5.0,21.0,0.0,0.0,0.013015508651733398
0,5.0,23.0,0.0,0.0,0.012876033782958984
0,5.0,25.0,0.0,0.0,0.012805461883544922
0,5.0,27.0,0.0,0.0,0.012778282165527344
0,5.0,29.0,0.0,0.0,0.012215137481689453
0,5.0,31.0,0.0,0.0,0.012311458587646484
0,5.0,33.0,0.0,0.0,0.012830495834350586
0,5.0,35.0,0.0,0.0,0.012172698974609375
0,5.0,37.0,0.0,0.0,0.012273073196411133
0,5.0,39.0,0.0,0.0,0.012470483779907227
0,5.0,41.0,0.0,0.0,0.012325525283813477
0,7.0,1.0,0.0,0.0,0.01187896728515625
0,7.0,3.0,0.0,0.0,0.011606931686401367
0,7.0,5.0,0.0,0.0,0.012032270431518555
0,7.0,7.0,0.0,0.0,0.012542486190795898
0,7.0,9.0,0.0,0.0,0.012738943099975586
0,7.0,11.0,0.0,0.0,0.013547897338867188
0,7.0,13.0,0.0,0.0,0.013248205184936523
0,7.0,15.0,0.0,0.0,0.012027740478515625
0,7.0,17.0,0.0,0.0,0.011700630187988281
0,7.0,19.0,0.0,0.0,0.012415647506713867
0,7.0,21.0,0.0,0.0,0.011601448059082031
0,7.0,23.0,0.0,0.0,0.011467695236206055
0,7.0,25.0,0.0,0.0,0.011355400085449219
0,7.0,27.0,0.0,0.0,0.012164592742919922
0,7.0,29.0,0.0,0.0,0.012252569198608398
0,7.0,31.0,0.0,0.0,0.011394500732421875
0,7.0,33.0,0.0,0.0,0.011684656143188477
0,7.0,35.0,0.0,0.0,0.012684345245361328
0,7.0,37.0,0.0,0.0,0.011195659637451172
0,7.0,39.0,0.0,0.0,0.010330438613891602
0,7.0,41.0,0.0,0.0,0.00851750373840332
0,9.0,1.0,0.0,0.0,0.008946418762207031
0,9.0,3.0,0.0,0.0,0.007354259490966797
0,9.0,5.0,0.0,0.0,0.008054018020629883
0,9.0,7.0,0.0,0.0,0.009074926376342773
0,9.0,9.0,0.0,0.0,0.010152339935302734
0,9.0,11.0,0.0,0.0,0.008630990982055664
0,9.0,13.0,0.0,0.0,0.009664773941040039
0,9.0,15.0,0.0,0.0,0.009870529174804688
0,9.0,17.0,0.0,0.0,0.010105371475219727
0,9.0,19.0,0.0,0.0,0.009689092636108398
0,9.0,21.0,0.0,0.0,0.010188579559326172
0,9.0,23.0,0.0,0.0,0.010521888732910156
0,9.0,25.0,0.0,0.0,0.011660337448120117
0,9.0,27.0,0.0,0.0,0.008911609649658203
0,9.0,29.0,0.0,0.0,0.00980067253112793
0,9.0,31.0,0.0,0.0,0.009884834289550781
0,9.0,33.0,0.0,0.0,0.010529041290283203
0,9.0,35.0,0.0,0.0,0.009087562561035156
0,9.0,37.0,0.0,0.0,0.009908437728881836
0,9.0,39.0,0.0,0.0,0.00919651985168457
0,9.0,41.0,0.0,0.0,0.008399248123168945
0,11.0,1.0,0.0,0.0,0.008936643600463867
0,11.0,3.0,0.0,0.0,0.010063886642456055
0,11.0,5.0,0.0,0.0,0.008981466293334961
0,11.0,7.0,0.0,0.0,0.00930166244506836
0,11.0,9.0,0.0,0.0,0.008753299713134766
0,11.0,11.0,0.0,0.0,0.009249210357666016
0,11.0,13.0,0.0,0.0,0.009365081787109375
0,11.0,15.0,0.0,0.0,0.008447647094726562
0,11.0,17.0,0.0,0.0,0.009949207305908203
0,11.0,19.0,0.0,0.0,0.009997844696044922
0,11.0,21.0,0.0,0.0,0.010284662246704102
0,11.0,23.0,0.0,0.0,0.009254693984985352
0,11.0,25.0,0.0,0.0,0.00868988037109375
0,11.0,27.0,0.0,0.0,0.009510040283203125
0,11.0,29.0,0.0,0.0,0.011219024658203125
0,11.0,31.0,0.0,0.0,0.012213468551635742
0,11.0,33.0,0.0,0.0,0.010504961013793945
0,11.0,35.0,0.0,0.0,0.007735013961791992
0,11.0,37.0,0.0,0.0,0.007708072662353516
0,11.0,39.0,0.0,0.0,0.009614706039428711
0,11.0,41.0,0.0,0.0,0.00794076919555664
0,13.0,1.0,0.0,0.0,0.008146047592163086
0,13.0,3.0,0.0,0.0,0.009035110473632812
0,13.0,5.0,0.0,0.0,0.008182525634765625
0,13.0,7.0,0.0,0.0,0.008373022079467773
0,13.0,9.0,0.0,0.0,0.010950803756713867
0,13.0,11.0,0.0,0.0,0.00962972640991211
0,13.0,13.0,0.0,0.0,0.009881019592285156
0,13.0,15.0,0.0,0.0,0.009312152862548828
0,13.0,17.0,0.0,0.0,0.009245634078979492
0,13.0,19.0,0.0,0.0,0.011174678802490234
0,13.0,21.0,0.0,0.0,0.011502265930175781
0,13.0,23.0,0.0,0.0,0.010401010513305664
0,13.0,25.0,0.0,0.0,0.009765625
0,13.0,27.0,0.0,0.0,0.008779764175415039
0,13.0,29.0,0.0,0.0,0.009086847305297852
0,13.0,31.0,0.0,0.0,0.009111881256103516
0,13.0,33.0,0.0,0.0,0.008930444717407227
0,13.0,35.0,0.0,0.0,0.008708715438842773
0,13.0,37.0,0.0,0.0,0.010120868682861328
0,13.0,39.0,0.0,0.0,0.010508298873901367
0,13.0,41.0,0.0,0.0,0.009036540985107422
0,15.0,1.0,0.0,0.0,0.007899999618530273
0,15.0,3.0,0.0,0.0,0.009751319885253906
0,15.0,5.0,0.0,0.0,0.00852513313293457
0,15.0,7.0,0.0,0.0,0.008104801177978516
0,15.0,9.0,0.0,0.0,0.008557319641113281
0,15.0,11.0,0.0,0.0,0.009428977966308594
0,15.0,13.0,0.0,0.0,0.009477615356445312
0,15.0,15.0,0.0,0.0,0.008824586868286133
0,15.0,17.0,0.0,0.0,0.00927114486694336
0,15.0,19.0,0.0,0.0,0.010782480239868164
0,15.0,21.0,0.0,0.0,0.010863065719604492
0,15.0,23.0,0.0,0.0,0.009769916534423828
0,15.0,25.0,0.0,0.0,0.009085416793823242
0,15.0,27.0,0.0,0.0,0.008232831954956055
