,Blur Map,Blur Box,Average Matches,Max Matches,Average Time
0,1,1,2,2,0.003037691116333
0,1,3,2,2,0.002856731414795
0,1,5,2,2,0.002313613891602
0,1,7,2,2,0.002108335494995
0,1,9,3,3,0.002042531967163
0,1,11,1,1,0.002863168716431
0,1,13,1,1,0.002088069915771
0,1,15,1,1,0.002353668212891
0,1,17,0,0,0.002661943435669
0,1,19,0,0,0.002167701721191
0,1,21,0,0,0.002323150634766
0,1,23,0,0,0.002729415893555
0,1,25,0,0,0.002494335174561
0,1,27,0,0,0.0023512840271
0,1,29,0,0,0.002641201019287
0,1,31,0,0,0.002384185791016
0,1,33,0,0,0.002258539199829
0,1,35,0,0,0.002276420593262
0,1,37,0,0,0.002508163452148
0,1,39,0,0,0.002085447311401
0,1,41,0,0,0.002202033996582
0,3,1,2,2,0.002963542938232
0,3,3,3,3,0.002527713775635
0,3,5,2,2,0.002398252487183
0,3,7,2,2,0.002554416656494
0,3,9,3,3,0.002413988113403
0,3,11,3,3,0.002685308456421
0,3,13,4,5,0.002487659454346
0,3,15,1,1,0.002392768859863
0,3,17,1,1,0.00252628326416
0,3,19,1,1,0.002736806869507
0,3,21,1,1,0.002428531646729
0,3,23,1,1,0.002646684646606
0,3,25,1,1,0.002681493759155
0,3,27,1,1,0.002179145812988
0,3,29,1,1,0.002535820007324
0,3,31,1,1,0.002804756164551
0,3,33,0,0,0.002129554748535
0,3,35,0,0,0.002685785293579
0,3,37,0,0,0.003028154373169
0,3,39,0,0,0.002487897872925
0,3,41,0,0,0.002561569213867
0,5,1,1,1,0.002575159072876
0,5,3,1,1,0.003043651580811
0,5,5,1,1,0.002448320388794
0,5,7,1,1,0.002577543258667
0,5,9,1,1,0.002532243728638
0,5,11,1,1,0.002517223358154
0,5,13,1,1,0.002553939819336
0,5,15,1,1,0.002472400665283
0,5,17,1,1,0.002736330032349
0,5,19,1,1,0.002629995346069
0,5,21,1,1,0.002499341964722
0,5,23,1,1,0.002289772033691
0,5,25,1,1,0.002842664718628
0,5,27,1,1,0.002397537231445
0,5,29,1,1,0.002360343933105
0,5,31,1,1,0.002584457397461
0,5,33,1,1,0.002490997314453
0,5,35,0,0,0.002578496932983
0,5,37,0,0,0.002689361572266
0,5,39,0,0,0.00249981880188
0,5,41,0,0,0.00226092338562
0,7,1,1,1,0.002641677856445
0,7,3,1,1,0.002324342727661
0,7,5,1,1,0.002455472946167
0,7,7,1,1,0.002510547637939
0,7,9,1,1,0.0023033618927
0,7,11,1,1,0.002576112747192
0,7,13,1,1,0.003356218338013
0,7,15,1,1,0.002252340316772
0,7,17,1,1,0.002314805984497
0,7,19,1,1,0.005495071411133
0,7,21,1,1,0.003437757492065
0,7,23,1,1,0.003026723861694
