,Blur Map,Blur Box,Average Matches,Max Matches,Average Time
0,1.0,1.0,0.0,0.0,0.004824638366699219
0,1.0,3.0,0.0,0.0,0.004199504852294922
0,1.0,5.0,0.0,0.0,0.003592252731323242
0,1.0,7.0,0.0,0.0,0.003014087677001953
0,1.0,9.0,0.0,0.0,0.003922939300537109
0,1.0,11.0,0.0,0.0,0.003108501434326172
0,1.0,13.0,0.0,0.0,0.003769397735595703
0,1.0,15.0,0.0,0.0,0.003876209259033203
0,1.0,17.0,0.0,0.0,0.0035741329193115234
0,1.0,19.0,0.0,0.0,0.003945589065551758
0,1.0,21.0,0.0,0.0,0.003384113311767578
0,1.0,23.0,0.0,0.0,0.003743410110473633
0,1.0,25.0,0.0,0.0,0.003736734390258789
0,1.0,27.0,0.0,0.0,0.003154754638671875
0,1.0,29.0,0.0,0.0,0.004280567169189453
0,1.0,31.0,0.0,0.0,0.003303050994873047
0,1.0,33.0,0.0,0.0,0.0048520565032958984
0,1.0,35.0,0.0,0.0,0.003428936004638672
0,1.0,37.0,0.0,0.0,0.0034079551696777344
0,1.0,39.0,0.0,0.0,0.0045239925384521484
0,1.0,41.0,0.0,0.0,0.003756999969482422
0,3.0,1.0,1.0,1.0,0.003914356231689453
0,3.0,3.0,1.0,1.0,0.0032494068145751953
0,3.0,5.0,1.0,1.0,0.0032875537872314453
0,3.0,7.0,1.0,1.0,0.0052242279052734375
0,3.0,9.0,1.0,1.0,0.00323486328125
0,3.0,11.0,1.0,1.0,0.0034639835357666016
0,3.0,13.0,1.0,1.0,0.0036818981170654297
0,3.0,15.0,1.0,1.0,0.0035712718963623047
0,3.0,17.0,1.0,1.0,0.0044708251953125
0,3.0,19.0,1.0,1.0,0.003290414810180664
0,3.0,21.0,1.0,1.0,0.0046539306640625
0,3.0,23.0,1.0,1.0,0.004038572311401367
0,3.0,25.0,1.0,1.0,0.0035746097564697266
0,3.0,27.0,1.0,1.0,0.0036590099334716797
0,3.0,29.0,1.0,1.0,0.00328826904296875
0,3.0,31.0,1.0,1.0,0.0050907135009765625
0,3.0,33.0,1.0,1.0,0.0032587051391601562
0,3.0,35.0,1.0,1.0,0.003159046173095703
0,3.0,37.0,1.0,1.0,0.004356861114501953
0,3.0,39.0,1.0,1.0,0.003331899642944336
0,3.0,41.0,1.0,1.0,0.005609273910522461
0,5.0,1.0,1.0,1.0,0.0032355785369873047
0,5.0,3.0,1.0,1.0,0.0033915042877197266
0,5.0,5.0,1.0,1.0,0.005084514617919922
0,5.0,7.0,1.0,1.0,0.003334522247314453
0,5.0,9.0,1.0,1.0,0.003989458084106445
0,5.0,11.0,1.0,1.0,0.0032918453216552734
0,5.0,13.0,1.0,1.0,0.004534482955932617
0,5.0,15.0,1.0,1.0,0.003467559814453125
0,5.0,17.0,1.0,1.0,0.003161191940307617
0,5.0,19.0,1.0,1.0,0.004578113555908203
0,5.0,21.0,1.0,1.0,0.003345966339111328
0,5.0,23.0,1.0,1.0,0.003122568130493164
0,5.0,25.0,1.0,1.0,0.004328489303588867
0,5.0,27.0,1.0,1.0,0.0033686161041259766
0,5.0,29.0,1.0,1.0,0.0035822391510009766
0,5.0,31.0,1.0,1.0,0.004059791564941406
0,5.0,33.0,1.0,1.0,0.003270387649536133
0,5.0,35.0,1.0,1.0,0.004611968994140625
0,5.0,37.0,1.0,1.0,0.0036563873291015625
0,5.0,39.0,1.0,1.0,0.004423856735229492
0,5.0,41.0,1.0,1.0,0.0034394264221191406
0,7.0,1.0,1.0,1.0,0.0037908554077148438
0,7.0,3.0,1.0,1.0,0.004337310791015625
0,7.0,5.0,1.0,1.0,0.0038673877716064453
0,7.0,7.0,1.0,1.0,0.004124164581298828
0,7.0,9.0,1.0,1.0,0.004087209701538086
0,7.0,11.0,1.0,1.0,0.00467681884765625
0,7.0,13.0,1.0,1.0,0.004084348678588867
0,7.0,15.0,1.0,1.0,0.0043811798095703125
0,7.0,17.0,1.0,1.0,0.0035643577575683594
0,7.0,19.0,1.0,1.0,0.0040552616119384766
0,7.0,21.0,1.0,1.0,0.003526449203491211
0,7.0,23.0,1.0,1.0,0.0033714771270751953
0,7.0,25.0,1.0,1.0,0.004496574401855469
0,7.0,27.0,1.0,1.0,0.0036334991455078125
0,7.0,29.0,1.0,1.0,0.0049517154693603516
0,7.0,31.0,1.0,1.0,0.0035707950592041016
0,7.0,33.0,1.0,1.0,0.003851175308227539
0,7.0,35.0,1.0,1.0,0.004550457000732422
0,7.0,37.0,1.0,1.0,0.0035109519958496094
0,7.0,39.0,1.0,1.0,0.004395008087158203
0,7.0,41.0,1.0,1.0,0.0036759376525878906
0,9.0,1.0,1.0,1.0,0.005047321319580078
0,9.0,3.0,1.0,1.0,0.0033080577850341797
0,9.0,5.0,1.0,1.0,0.004045248031616211
0,9.0,7.0,1.0,1.0,0.003732919692993164
0,9.0,9.0,1.0,1.0,0.004506587982177734
0,9.0,11.0,1.0,1.0,0.0036652088165283203
0,9.0,13.0,1.0,1.0,0.0036635398864746094
0,9.0,15.0,1.0,1.0,0.004376411437988281
0,9.0,17.0,1.0,1.0,0.003612518310546875
0,9.0,19.0,1.0,1.0,0.0038161277770996094
0,9.0,21.0,1.0,1.0,0.00336456298828125
0,9.0,23.0,1.0,1.0,0.0033364295959472656
0,9.0,25.0,1.0,1.0,0.0046579837799072266
0,9.0,27.0,1.0,1.0,0.004165172576904297
0,9.0,29.0,1.0,1.0,0.005182981491088867
0,9.0,31.0,1.0,1.0,0.003587007522583008
0,9.0,33.0,1.0,1.0,0.004561424255371094
0,9.0,35.0,1.0,1.0,0.003926277160644531
0,9.0,37.0,1.0,1.0,0.0039038658142089844
0,9.0,39.0,1.0,1.0,0.004820585250854492
0,9.0,41.0,1.0,1.0,0.003977060317993164
0,11.0,1.0,1.0,1.0,0.0040318965911865234
0,11.0,3.0,1.0,1.0,0.0040814876556396484
0,11.0,5.0,1.0,1.0,0.004256486892700195
0,11.0,7.0,1.0,1.0,0.0038785934448242188
0,11.0,9.0,1.0,1.0,0.004405975341796875
0,11.0,11.0,1.0,1.0,0.003753662109375
0,11.0,13.0,1.0,1.0,0.005026578903198242
0,11.0,15.0,1.0,1.0,0.003697633743286133
0,11.0,17.0,1.0,1.0,0.003930091857910156
0,11.0,19.0,1.0,1.0,0.003198385238647461
0,11.0,21.0,1.0,1.0,0.0031986236572265625
0,11.0,23.0,1.0,1.0,0.004453420639038086
0,11.0,25.0,1.0,1.0,0.0032248497009277344
0,11.0,27.0,1.0,1.0,0.003345012664794922
0,11.0,29.0,1.0,1.0,0.0036995410919189453
0,11.0,31.0,1.0,1.0,0.003378152847290039
0,11.0,33.0,1.0,1.0,0.004075288772583008
0,11.0,35.0,1.0,1.0,0.0036880970001220703
0,11.0,37.0,1.0,1.0,0.003920078277587891
0,11.0,39.0,1.0,1.0,0.004240512847900391
0,11.0,41.0,1.0,1.0,0.003559112548828125
0,13.0,1.0,1.0,1.0,0.004435062408447266
0,13.0,3.0,1.0,1.0,0.0037407875061035156
0,13.0,5.0,1.0,1.0,0.005366325378417969
0,13.0,7.0,1.0,1.0,0.003825664520263672
0,13.0,9.0,1.0,1.0,0.0035762786865234375
0,13.0,11.0,1.0,1.0,0.003584623336791992
0,13.0,13.0,1.0,1.0,0.003592967987060547
0,13.0,15.0,1.0,1.0,0.003949403762817383
0,13.0,17.0,1.0,1.0,0.0044667720794677734
0,13.0,19.0,1.0,1.0,0.0039560794830322266
0,13.0,21.0,1.0,1.0,0.0038292407989501953
0,13.0,23.0,1.0,1.0,0.003913164138793945
