,Blur Map,Blur Box,Average Matches,Max Matches,Average Time
0,1.0,1.0,1.0,1.0,0.004816770553588867
0,1.0,3.0,1.0,1.0,0.003523588180541992
0,1.0,5.0,1.0,1.0,0.0037186145782470703
0,1.0,7.0,1.0,1.0,0.0033762454986572266
0,1.0,9.0,1.0,1.0,0.006274223327636719
0,1.0,11.0,1.0,1.0,0.0036249160766601562
0,1.0,13.0,1.0,1.0,0.0041844844818115234
0,1.0,15.0,1.0,1.0,0.0038640499114990234
0,1.0,17.0,1.0,1.0,0.003798246383666992
0,1.0,19.0,1.0,1.0,0.0052797794342041016
0,1.0,21.0,1.0,1.0,0.003893136978149414
0,1.0,23.0,1.0,1.0,0.0047490596771240234
0,1.0,25.0,1.0,1.0,0.004324674606323242
0,1.0,27.0,1.0,1.0,0.004675149917602539
0,1.0,29.0,1.0,1.0,0.005362033843994141
0,1.0,31.0,1.0,1.0,0.005058765411376953
0,1.0,33.0,1.0,1.0,0.005118846893310547
0,1.0,35.0,1.0,1.0,0.006327390670776367
0,1.0,37.0,1.0,1.0,0.007725715637207031
0,1.0,39.0,1.0,1.0,0.004421234130859375
0,1.0,41.0,1.0,1.0,0.006641864776611328
0,3.0,1.0,1.0,1.0,0.0054972171783447266
0,3.0,3.0,1.0,1.0,0.0049228668212890625
0,3.0,5.0,1.0,1.0,0.006769418716430664
0,3.0,7.0,1.0,1.0,0.005662679672241211
0,3.0,9.0,1.0,1.0,0.0059664249420166016
0,3.0,11.0,1.0,1.0,0.007129192352294922
0,3.0,13.0,1.0,1.0,0.004598855972290039
0,3.0,15.0,1.0,1.0,0.008608102798461914
0,3.0,17.0,1.0,1.0,0.005402803421020508
0,3.0,19.0,1.0,1.0,0.0055561065673828125
0,3.0,21.0,1.0,1.0,0.006043195724487305
0,3.0,23.0,1.0,1.0,0.005060911178588867
0,3.0,25.0,1.0,1.0,0.005814075469970703
0,3.0,27.0,1.0,1.0,0.005548000335693359
0,3.0,29.0,1.0,1.0,0.0053250789642333984
0,3.0,31.0,1.0,1.0,0.006642580032348633
0,3.0,33.0,1.0,1.0,0.0046787261962890625
0,3.0,35.0,1.0,1.0,0.00637054443359375
0,3.0,37.0,1.0,1.0,0.004429340362548828
0,3.0,39.0,1.0,1.0,0.00616765022277832
0,3.0,41.0,1.0,1.0,0.00477290153503418
0,5.0,1.0,1.0,1.0,0.0049245357513427734
0,5.0,3.0,1.0,1.0,0.0049054622650146484
0,5.0,5.0,1.0,1.0,0.005452394485473633
0,5.0,7.0,1.0,1.0,0.007068634033203125
0,5.0,9.0,1.0,1.0,0.0051116943359375
0,5.0,11.0,1.0,1.0,0.005264759063720703
0,5.0,13.0,1.0,1.0,0.006986379623413086
0,5.0,15.0,1.0,1.0,0.004772186279296875
0,5.0,17.0,1.0,1.0,0.006247282028198242
0,5.0,19.0,1.0,1.0,0.006009101867675781
0,5.0,21.0,1.0,1.0,0.005160331726074219
0,5.0,23.0,1.0,1.0,0.005578517913818359
0,5.0,25.0,1.0,1.0,0.006808280944824219
0,5.0,27.0,1.0,1.0,0.006953239440917969
0,5.0,29.0,1.0,1.0,0.005339384078979492
0,5.0,31.0,1.0,1.0,0.005809307098388672
0,5.0,33.0,1.0,1.0,0.006635427474975586
0,5.0,35.0,1.0,1.0,0.004418611526489258
0,5.0,37.0,1.0,1.0,0.005913972854614258
0,5.0,39.0,1.0,1.0,0.004778385162353516
0,5.0,41.0,1.0,1.0,0.0045545101165771484
0,7.0,1.0,1.0,1.0,0.004822492599487305
0,7.0,3.0,1.0,1.0,0.0049190521240234375
0,7.0,5.0,1.0,1.0,0.005510091781616211
0,7.0,7.0,1.0,1.0,0.005102396011352539
0,7.0,9.0,1.0,1.0,0.006741046905517578
0,7.0,11.0,1.0,1.0,0.00441431999206543
0,7.0,13.0,1.0,1.0,0.005161285400390625
0,7.0,15.0,1.0,1.0,0.00471186637878418
0,7.0,17.0,1.0,1.0,0.005387067794799805
0,7.0,19.0,1.0,1.0,0.006395101547241211
0,7.0,21.0,1.0,1.0,0.005349636077880859
0,7.0,23.0,1.0,1.0,0.0055425167083740234
0,7.0,25.0,1.0,1.0,0.00487828254699707
0,7.0,27.0,1.0,1.0,0.0060443878173828125
0,7.0,29.0,1.0,1.0,0.006741046905517578
0,7.0,31.0,1.0,1.0,0.0044803619384765625
0,7.0,33.0,1.0,1.0,0.004952907562255859
0,7.0,35.0,1.0,1.0,0.004644632339477539
0,7.0,37.0,1.0,1.0,0.006685733795166016
0,7.0,39.0,1.0,1.0,0.0053730010986328125
0,7.0,41.0,1.0,1.0,0.005580425262451172
0,9.0,1.0,1.0,1.0,0.005487680435180664
0,9.0,3.0,1.0,1.0,0.004652261734008789
0,9.0,5.0,1.0,1.0,0.0058133602142333984
0,9.0,7.0,1.0,1.0,0.004729270935058594
0,9.0,9.0,1.0,1.0,0.0059413909912109375
0,9.0,11.0,1.0,1.0,0.004742622375488281
0,9.0,13.0,1.0,1.0,0.006119489669799805
0,9.0,15.0,1.0,1.0,0.005677461624145508
0,9.0,17.0,1.0,1.0,0.005348920822143555
0,9.0,19.0,1.0,1.0,0.004917144775390625
0,9.0,21.0,1.0,1.0,0.008425235748291016
0,9.0,23.0,1.0,1.0,0.0059816837310791016
0,9.0,25.0,1.0,1.0,0.005924701690673828
0,9.0,27.0,1.0,1.0,0.005844831466674805
0,9.0,29.0,1.0,1.0,0.005510807037353516
0,9.0,31.0,1.0,1.0,0.0077893733978271484
0,9.0,33.0,1.0,1.0,0.006588459014892578
0,9.0,35.0,1.0,1.0,0.0061779022216796875
0,9.0,37.0,1.0,1.0,0.00645756721496582
0,9.0,39.0,1.0,1.0,0.009122133255004883
0,9.0,41.0,1.0,1.0,0.007504463195800781
0,11.0,1.0,1.0,1.0,0.00760340690612793
0,11.0,3.0,1.0,1.0,0.008498907089233398
0,11.0,5.0,1.0,1.0,0.0060689449310302734
0,11.0,7.0,1.0,1.0,0.0064771175384521484
0,11.0,9.0,1.0,1.0,0.007583141326904297
0,11.0,11.0,1.0,1.0,0.005574941635131836
0,11.0,13.0,1.0,1.0,0.005719423294067383
0,11.0,15.0,1.0,1.0,0.007095813751220703
0,11.0,17.0,1.0,1.0,0.005406618118286133
0,11.0,19.0,1.0,1.0,0.00535130500793457
0,11.0,21.0,1.0,1.0,0.005507230758666992
0,11.0,23.0,1.0,1.0,0.005681753158569336
0,11.0,25.0,1.0,1.0,0.006994485855102539
0,11.0,27.0,1.0,1.0,0.007096290588378906
0,11.0,29.0,1.0,1.0,0.006171464920043945
0,11.0,31.0,1.0,1.0,0.005610227584838867
0,11.0,33.0,1.0,1.0,0.006566047668457031
0,11.0,35.0,1.0,1.0,0.0061795711517333984
0,11.0,37.0,1.0,1.0,0.006650209426879883
0,11.0,39.0,1.0,1.0,0.007413387298583984
0,11.0,41.0,1.0,1.0,0.006486415863037109
0,13.0,1.0,1.0,1.0,0.0050165653228759766
0,13.0,3.0,1.0,1.0,0.005905628204345703
0,13.0,5.0,1.0,1.0,0.004956483840942383
0,13.0,7.0,1.0,1.0,0.007813215255737305
0,13.0,9.0,1.0,1.0,0.005946159362792969
0,13.0,11.0,1.0,1.0,0.004489898681640625
0,13.0,13.0,1.0,1.0,0.004258155822753906
