,Blur Map,Blur Box,Average Matches,Max Matches,Average Time
0,1.0,1.0,0.0,0.0,0.0032012462615966797
0,1.0,3.0,0.0,0.0,0.002647876739501953
0,1.0,5.0,0.0,0.0,0.0023813247680664062
0,1.0,7.0,0.0,0.0,0.0021996498107910156
0,1.0,9.0,0.0,0.0,0.0029871463775634766
0,1.0,11.0,0.0,0.0,0.0020475387573242188
0,1.0,13.0,0.0,0.0,0.0021331310272216797
0,1.0,15.0,0.0,0.0,0.003327608108520508
0,1.0,17.0,0.0,0.0,0.0022170543670654297
0,1.0,19.0,0.0,0.0,0.0020525455474853516
0,1.0,21.0,0.0,0.0,0.0031571388244628906
0,1.0,23.0,0.0,0.0,0.002257823944091797
0,1.0,25.0,0.0,0.0,0.002071857452392578
0,1.0,27.0,0.0,0.0,0.0026574134826660156
0,1.0,29.0,0.0,0.0,0.0024695396423339844
0,1.0,31.0,0.0,0.0,0.002136707305908203
0,1.0,33.0,0.0,0.0,0.002591848373413086
0,1.0,35.0,0.0,0.0,0.0022017955780029297
0,1.0,37.0,0.0,0.0,0.002111196517944336
0,1.0,39.0,0.0,0.0,0.0033833980560302734
0,1.0,41.0,0.0,0.0,0.0024213790893554688
0,3.0,1.0,0.0,0.0,0.002035379409790039
0,3.0,3.0,0.0,0.0,0.0027506351470947266
0,3.0,5.0,0.0,0.0,0.002872467041015625
0,3.0,7.0,0.0,0.0,0.0022478103637695312
0,3.0,9.0,0.0,0.0,0.003014087677001953
0,3.0,11.0,0.0,0.0,0.0021533966064453125
0,3.0,13.0,0.0,0.0,0.002242565155029297
0,3.0,15.0,0.0,0.0,0.002902984619140625
0,3.0,17.0,0.0,0.0,0.0021517276763916016
0,3.0,19.0,0.0,0.0,0.002264738082885742
0,3.0,21.0,0.0,0.0,0.0022771358489990234
0,3.0,23.0,0.0,0.0,0.002274036407470703
0,3.0,25.0,0.0,0.0,0.0025768280029296875
0,3.0,27.0,0.0,0.0,0.0027871131896972656
0,3.0,29.0,0.0,0.0,0.0025441646575927734
0,3.0,31.0,0.0,0.0,0.0021886825561523438
0,3.0,33.0,0.0,0.0,0.002222776412963867
0,3.0,35.0,0.0,0.0,0.0025119781494140625
0,3.0,37.0,0.0,0.0,0.0028219223022460938
0,3.0,39.0,0.0,0.0,0.0023412704467773438
0,3.0,41.0,0.0,0.0,0.00301361083984375
0,5.0,1.0,0.0,0.0,0.002329587936401367
0,5.0,3.0,0.0,0.0,0.0020630359649658203
0,5.0,5.0,0.0,0.0,0.0026984214782714844
0,5.0,7.0,0.0,0.0,0.002525806427001953
0,5.0,9.0,0.0,0.0,0.0022737979888916016
0,5.0,11.0,0.0,0.0,0.0025167465209960938
0,5.0,13.0,0.0,0.0,0.002682209014892578
0,5.0,15.0,0.0,0.0,0.0021228790283203125
0,5.0,17.0,0.0,0.0,0.002672910690307617
0,5.0,19.0,0.0,0.0,0.002698659896850586
0,5.0,21.0,0.0,0.0,0.0022416114807128906
0,5.0,23.0,0.0,0.0,0.0027070045471191406
0,5.0,25.0,0.0,0.0,0.0023980140686035156
0,5.0,27.0,0.0,0.0,0.002025127410888672
0,5.0,29.0,0.0,0.0,0.0020723342895507812
0,5.0,31.0,0.0,0.0,0.0025060176849365234
0,5.0,33.0,0.0,0.0,0.002144336700439453
0,5.0,35.0,0.0,0.0,0.002094268798828125
0,5.0,37.0,0.0,0.0,0.002841472625732422
0,5.0,39.0,0.0,0.0,0.002437114715576172
0,5.0,41.0,0.0,0.0,0.0022821426391601562
0,7.0,1.0,0.0,0.0,0.002887248992919922
0,7.0,3.0,0.0,0.0,0.002973794937133789
0,7.0,5.0,0.0,0.0,0.002153635025024414
0,7.0,7.0,0.0,0.0,0.002683401107788086
0,7.0,9.0,0.0,0.0,0.0022890567779541016
0,7.0,11.0,0.0,0.0,0.0017888545989990234
0,7.0,13.0,0.0,0.0,0.0026650428771972656
0,7.0,15.0,0.0,0.0,0.002126455307006836
0,7.0,17.0,0.0,0.0,0.002154111862182617
0,7.0,19.0,0.0,0.0,0.002347707748413086
0,7.0,21.0,0.0,0.0,0.002578258514404297
0,7.0,23.0,0.0,0.0,0.002554178237915039
0,7.0,25.0,0.0,0.0,0.002078533172607422
0,7.0,27.0,0.0,0.0,0.00225067138671875
0,7.0,29.0,0.0,0.0,0.0023217201232910156
0,7.0,31.0,0.0,0.0,0.0020949840545654297
0,7.0,33.0,0.0,0.0,0.0028116703033447266
0,7.0,35.0,0.0,0.0,0.0023584365844726562
0,7.0,37.0,0.0,0.0,0.0022270679473876953
0,7.0,39.0,0.0,0.0,0.0029833316802978516
0,7.0,41.0,0.0,0.0,0.0023283958435058594
0,9.0,1.0,0.0,0.0,0.002236604690551758
0,9.0,3.0,0.0,0.0,0.002507448196411133
0,9.0,5.0,0.0,0.0,0.0026144981384277344
0,9.0,7.0,0.0,0.0,0.0021505355834960938
0,9.0,9.0,0.0,0.0,0.002409696578979492
0,9.0,11.0,0.0,0.0,0.002806425094604492
0,9.0,13.0,0.0,0.0,0.002126455307006836
0,9.0,15.0,0.0,0.0,0.002299070358276367
0,9.0,17.0,0.0,0.0,0.002872467041015625
0,9.0,19.0,0.0,0.0,0.002285003662109375
0,9.0,21.0,0.0,0.0,0.002213001251220703
